[ INFO] [2020-11-15] [04:35:26,343] [x80009b8d0] Galaxy.galaxyWorker - tick 13
[ INFO] [2020-11-15] [04:35:26,393] [x80009b6b0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:35:26,393] [x8000acbb0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:35:26,443] [x80009b6b0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:35:27,343] [x80009b8d0] Galaxy.galaxyWorker - tick 14
[ INFO] [2020-11-15] [04:35:27,393] [x8000acbb0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:35:27,393] [x80009b6b0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:35:27,443] [x8000acbb0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:35:28,343] [x80009b8d0] Galaxy.galaxyWorker - tick 15
[ INFO] [2020-11-15] [04:35:28,393] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:35:28,393] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:35:28,443] [x80009b6b0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:35:29,343] [x80009b8d0] Galaxy.galaxyWorker - tick 16
[ INFO] [2020-11-15] [04:35:29,393] [x80009b6b0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:35:29,393] [x8000acbb0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:35:29,443] [x80009b6b0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:36:12,950] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:36:12,951] [x8000adac0] Galaxy.galaxyWorker - tick 1
[ INFO] [2020-11-15] [04:36:13,001] [x8000accc0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:36:13,001] [x80009b6c0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:36:13,051] [x80009b6c0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:36:13,051] [x8000accc0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:36:13,101] [x80009b6c0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:36:14,050] [x8000adac0] Galaxy.galaxyWorker - tick 2
[ INFO] [2020-11-15] [04:36:14,100] [x8000accc0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:36:14,100] [x80009b6c0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:36:14,150] [x8000accc0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:36:15,051] [x8000adac0] Galaxy.galaxyWorker - tick 3
[ INFO] [2020-11-15] [04:36:15,101] [x80009b6c0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:36:15,101] [x8000accc0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:36:15,151] [x80009b6c0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:36:16,051] [x8000adac0] Galaxy.galaxyWorker - tick 4
[ INFO] [2020-11-15] [04:36:16,101] [x80009b6c0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:36:16,101] [x8000accc0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:36:16,151] [x80009b6c0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:36:17,051] [x8000adac0] Galaxy.galaxyWorker - tick 5
[ INFO] [2020-11-15] [04:36:17,101] [x8000accc0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:36:17,101] [x80009b6c0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:36:17,151] [x8000accc0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:36:18,051] [x8000adac0] Galaxy.galaxyWorker - tick 6
[ INFO] [2020-11-15] [04:36:18,101] [x8000accc0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:36:18,101] [x80009b6c0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:36:18,151] [x8000accc0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:36:19,051] [x8000adac0] Galaxy.galaxyWorker - tick 7
[ INFO] [2020-11-15] [04:36:19,101] [x80009b6c0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:36:19,101] [x8000accc0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:36:19,151] [x80009b6c0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:36:20,051] [x8000adac0] Galaxy.galaxyWorker - tick 8
[ INFO] [2020-11-15] [04:36:20,101] [x8000accc0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:36:20,101] [x80009b6c0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:36:20,151] [x8000accc0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:36:21,051] [x8000adac0] Galaxy.galaxyWorker - tick 9
[ INFO] [2020-11-15] [04:36:21,101] [x80009b6c0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:36:21,101] [x8000accc0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:36:21,151] [x80009b6c0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:40:41,033] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:40:41,034] [x80009b8d0] Galaxy.galaxyWorker - tick 1
[ WARN] [2020-11-15] [04:40:41,034] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:40:41,084] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:40:41,084] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:40:41,134] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:40:41,134] [x8000acbb0] StarSystem.update - starsystem a
